"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Home Herokuapps Website: as user , i can acces Herokuapps A/B Testing Page","","0","0","4","0","0"
"","Challenging DOM Page: I can click the blue button","","0","0","5","0","0"
"","Checkboxes Page: I can click checkbox 1 and it will checked","","0","0","5","0","0"
"","Challenging DOM Page: I can click delete the first row data","","0","0","1","0","0"
"","Checkboxes Page","","0","0","4","0","0"
"","Home Herokuapps Website: as user , i can acces Herokuapps Challenging DOM Page","","0","0","4","0","0"
"","Broken Image Page: Verify second image","","1","0","3","0","0"
"","Broken Image Page: Verify first image","","1","0","4","0","0"
"","The Internet Guinea Pig Website: As a user, I can log into the secure area","","1","0","11","0","0"
"","Challenging DOM Page","","0","0","1","3","0"
"","Checkboxes Page: I can click checkbox 2 twice and it will back to checked","","0","0","6","0","0"
"","Context Menu Page: I can right click the Context Menu and opening the alert","","0","1","4","0","0"
"","Home Herokuapps Website","","1","0","5","0","0"
"","Add Remove Element Page","","0","0","3","0","0"
"","Home Herokuapps Website: as user , i can acces Herokuapps homepage","","3","1","6","0","0"
"","Add Remove Element Page: I can add several element","","0","0","5","0","0"
"","Broken Image Page","","1","0","1","0","0"
"","Home Herokuapps Website: as user , i can acces Herokuapps Checkboxes Page","","0","0","4","0","0"
"","Add Remove Element Page: I can delete added element","","0","0","6","0","0"
"","Context Menu Page","","0","1","0","0","0"
"","Checkboxes Page: I can click checkbox 2 and it will unchecked","","0","0","5","0","0"
"","Home Herokuapps Website: as user , i can acces Herokuapps Add/Remove Element","","1","0","2","1","0"
"","Checkboxes Page: I can click checkbox 1 twice and it will back to unchecked","","0","0","6","0","0"
"","Home Herokuapps Website: as user , i can acces Herokuapps Broken Image Page","","0","0","6","0","0"
"","Challenging DOM Page: I can get data of all column from the first row","","0","0","1","0","0"
"","Challenging DOM Page: I can click edit the first row data","","0","0","1","0","0"
"","Add Remove Element Page: I can add element","","0","0","4","1","0"
"","The Internet Guinea Pig Website","","0","0","1","0","0"
