"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 20:48:31 ICT 2024","Thu Apr 18 20:48:31 ICT 2024","4","","Home Herokuapps Website: as user , i can acces Herokuapps A/B Testing Page","","","","",""
"passed","Thu Apr 18 20:48:07 ICT 2024","Thu Apr 18 20:48:07 ICT 2024","39","","Challenging DOM Page: I can click the blue button","","","","Then I can see the number at canvas is changging",""
"passed","Thu Apr 18 20:48:10 ICT 2024","Thu Apr 18 20:48:10 ICT 2024","1","","Checkboxes Page: I can click checkbox 1 and it will checked","","","","",""
"passed","Thu Apr 18 20:47:57 ICT 2024","Thu Apr 18 20:47:57 ICT 2024","1","","Challenging DOM Page: I can click delete the first row data","","","","",""
"passed","Thu Apr 18 21:55:05 ICT 2024","Thu Apr 18 21:55:09 ICT 2024","4529","","Checkboxes Page","","","","I can click checkbox 1 twice and it will back to unchecked",""
"passed","Thu Apr 18 20:48:37 ICT 2024","Thu Apr 18 20:48:41 ICT 2024","4007","","Home Herokuapps Website: as user , i can acces Herokuapps Challenging DOM Page","","","","When I click Challenging DOM menu at homepage",""
"failed","Thu Apr 18 20:48:12 ICT 2024","Thu Apr 18 20:48:13 ICT 2024","1010","","Broken Image Page: Verify second image","","","","Then I can see image 2 is not broken",""
"passed","Thu Apr 18 21:55:00 ICT 2024","Thu Apr 18 21:55:05 ICT 2024","4526","","Checkboxes Page","","","","I can click checkbox 2 and it will unchecked",""
"failed","Thu Apr 18 20:48:06 ICT 2024","Thu Apr 18 20:48:07 ICT 2024","726","","Broken Image Page: Verify first image","","","","Then I can see image 1 is not broken",""
"passed","Tue Apr 02 19:38:20 ICT 2024","Tue Apr 02 19:38:22 ICT 2024","1434","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Given I am on the login page",""
"skipped","Thu Apr 18 21:54:50 ICT 2024","Thu Apr 18 21:54:50 ICT 2024","149","","Challenging DOM Page","","","","I can click edit the first row data",""
"passed","Thu Apr 18 20:48:25 ICT 2024","Thu Apr 18 20:48:25 ICT 2024","137","","Checkboxes Page: I can click checkbox 2 twice and it will back to checked","","","","And I click checkbox 2",""
"passed","Thu Apr 18 20:48:08 ICT 2024","Thu Apr 18 20:48:17 ICT 2024","8922","","Context Menu Page: I can right click the Context Menu and opening the alert","","","","And I click Context Menu menu at homepage",""
"passed","Thu Apr 18 21:55:35 ICT 2024","Thu Apr 18 21:55:39 ICT 2024","3974","","Home Herokuapps Website","","","","as user , i can acces Herokuapps Checkboxes Page",""
"passed","Tue Apr 02 19:38:22 ICT 2024","Tue Apr 02 19:38:23 ICT 2024","1164","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","When I login with foobar and barfoo",""
"passed","Thu Apr 18 21:54:50 ICT 2024","Thu Apr 18 21:55:04 ICT 2024","14884","","Add Remove Element Page","","","","I can add element",""
"passed","Thu Apr 04 23:46:14 ICT 2024","Thu Apr 04 23:46:14 ICT 2024","85","","Home Herokuapps Website: as user , i can acces Herokuapps homepage","","","","When I click A/B Testing menu at homepage",""
"passed","Thu Apr 18 20:48:24 ICT 2024","Thu Apr 18 20:48:24 ICT 2024","27","","Add Remove Element Page: I can add several element","","","","Then I will see 5 element is added",""
"failed","Thu Apr 18 21:55:01 ICT 2024","Thu Apr 18 21:55:06 ICT 2024","5112","","Broken Image Page","","","","Verify second image",""
"passed","Thu Apr 18 20:48:45 ICT 2024","Thu Apr 18 20:48:45 ICT 2024","1","","Home Herokuapps Website: as user , i can acces Herokuapps Checkboxes Page","","","","",""
"passed","Thu Apr 18 21:55:06 ICT 2024","Thu Apr 18 21:55:11 ICT 2024","4349","","Broken Image Page","","","","Verify first image",""
"passed","Thu Apr 18 20:48:42 ICT 2024","Thu Apr 18 20:48:42 ICT 2024","446","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Given I am on the login page",""
"passed","Thu Apr 18 20:48:24 ICT 2024","Thu Apr 18 20:48:24 ICT 2024","1","","Add Remove Element Page: I can add several element","","","","",""
"passed","Thu Apr 18 20:47:57 ICT 2024","Thu Apr 18 20:48:06 ICT 2024","9240","","Challenging DOM Page: I can click the blue button","","","","When I click Challenging DOM menu at homepage",""
"failed","Thu Apr 04 23:46:14 ICT 2024","Thu Apr 04 23:46:14 ICT 2024","74","","Home Herokuapps Website: as user , i can acces Herokuapps homepage","","","","Then Verify i am at ABTesting page",""
"passed","Thu Apr 18 20:48:07 ICT 2024","Thu Apr 18 20:48:07 ICT 2024","3","","Challenging DOM Page: I can click the blue button","","","","",""
"passed","Thu Apr 18 20:48:18 ICT 2024","Thu Apr 18 20:48:18 ICT 2024","355","","Add Remove Element Page: I can delete added element","","","","When I click button 'Add Element'",""
"broken","Thu Apr 18 21:55:00 ICT 2024","Thu Apr 18 21:55:20 ICT 2024","19382","","Context Menu Page","","","","I can right click the Context Menu and opening the alert",""
"passed","Thu Apr 18 20:47:59 ICT 2024","Thu Apr 18 20:48:10 ICT 2024","10842","","Checkboxes Page: I can click checkbox 1 and it will checked","","","","And I click Checkboxes menu at homepage",""
"passed","Thu Apr 18 20:48:15 ICT 2024","Thu Apr 18 20:48:15 ICT 2024","30","","Checkboxes Page: I can click checkbox 2 and it will unchecked","","","","Then I can see checkbox 2 is not checked",""
"passed","Thu Apr 18 20:48:20 ICT 2024","Thu Apr 18 20:48:25 ICT 2024","4955","","Checkboxes Page: I can click checkbox 2 twice and it will back to checked","","","","And I click Checkboxes menu at homepage",""
"failed","Thu Apr 18 20:48:31 ICT 2024","Thu Apr 18 20:48:31 ICT 2024","83","","Home Herokuapps Website: as user , i can acces Herokuapps Add/Remove Element","","","","When I click Add/Remove Elements menu at homepage",""
"passed","Thu Apr 18 20:48:45 ICT 2024","Thu Apr 18 20:48:45 ICT 2024","34","","Home Herokuapps Website: as user , i can acces Herokuapps Checkboxes Page","","","","Then Verify i am at Checkboxes page",""
"passed","Thu Apr 18 20:48:42 ICT 2024","Thu Apr 18 20:48:42 ICT 2024","2","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Thu Apr 18 20:48:42 ICT 2024","Thu Apr 18 20:48:42 ICT 2024","6","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","When I login with foobar and barfoo",""
"passed","Tue Apr 02 19:38:08 ICT 2024","Tue Apr 02 19:38:20 ICT 2024","11955","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","When I login with tomsmith and SuperSecretPassword!",""
"failed","Tue Apr 02 19:38:08 ICT 2024","Tue Apr 02 19:38:20 ICT 2024","11913","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Then I should see a flash message saying You logged into a secure area!",""
"passed","Thu Apr 04 23:46:14 ICT 2024","Thu Apr 04 23:46:14 ICT 2024","2","","Home Herokuapps Website: as user , i can acces Herokuapps homepage","","","","",""
"passed","Thu Apr 18 20:48:10 ICT 2024","Thu Apr 18 20:48:10 ICT 2024","176","","Checkboxes Page: I can click checkbox 1 and it will checked","","","","When I click checkbox 1",""
"failed","Thu Apr 18 21:55:09 ICT 2024","Thu Apr 18 21:55:18 ICT 2024","8787","","Home Herokuapps Website","","","","as user , i can acces Herokuapps A/B Testing Page",""
